run_name,Lambda_max,I_xi_L2,I_xi_Linf,I_xi_turb,I_orig_L2,I_orig_turb,corr_xi_orig
cube_Re1600,1.730763,0.179429,0.998932,0.095093,0.148905,0.063551,0.240485
cube_Re400,1.710166,0.082547,0.999854,0.016948,0.035499,0.003805,0.166325
cube_Re800,1.726199,0.113982,0.999484,0.032964,0.081965,0.019019,0.242115
sphere_Re1600,1.731686,0.126408,0.998697,0.046336,0.067836,0.012821,0.319517
sphere_Re400,1.731976,0.079008,0.999784,0.013938,0.021724,0.001307,0.049351
sphere_Re800,1.731434,0.091510,0.998969,0.023742,0.047342,0.006392,0.228879
step_Re1000,1.721065,0.206615,0.999599,0.115295,0.116078,0.038397,0.021524
step_Re2000,1.730915,0.267529,0.999651,0.210964,0.163042,0.077132,0.073552
step_Re500,1.731808,0.165003,0.999959,0.060416,0.026440,0.002305,-0.006082
tandem_Re1600,1.731968,0.137891,0.998280,0.057736,0.082222,0.019775,0.386899
tandem_Re400,1.732010,0.079489,0.999751,0.014030,0.024330,0.001452,0.056995
tandem_Re800,1.731709,0.099499,0.999086,0.028460,0.056004,0.008982,0.252432
