t,Λ_64,Λ_128,Λ_256,128/64,256/128,K_64,K_128,K_256,ω_max_64,ω_max_128,ω_max_256,T2/T1_64,T2/T1_128,T2/T1_256
0,28.56,51.10,101.35,1.79,1.98,1.636,2.928,5.808,3.53,3.53,3.53,1.06,1.08,1.45
5,38.69,53.25,102.51,1.38,1.93,2.327,3.202,6.165,2.90,2.90,2.90,1.09,1.24,1.26
10,41.10,57.78,113.56,1.41,1.97,2.580,3.627,7.128,2.42,2.50,2.50,1.20,0.93,1.26
14,36.21,57.98,113.91,1.60,1.96,2.342,3.750,7.367,2.17,2.19,2.20,1.48,1.03,1.54
20,32.03,57.54,114.36,1.80,1.99,2.154,3.869,7.690,1.87,1.88,1.88,1.17,0.90,1.38
25,38.79,59.14,113.83,1.52,1.92,2.684,4.092,7.877,1.70,1.70,1.70,1.61,1.83,1.71
28,40.17,56.94,114.19,1.42,2.01,2.824,4.003,8.027,1.60,1.61,1.61,1.38,1.31,1.57
30,35.75,56.53,—,1.58,—,2.538,4.014,—,1.54,1.54,—,1.43,1.43,—
36,35.02,65.65,—,1.87,—,2.556,4.792,—,1.37,1.38,—,1.78,1.78,—
40,35.37,59.26,—,1.68,—,2.626,4.401,—,1.28,1.30,—,1.14,1.29,—
